Project ID,Report Date,Number of Tasks Completed,Number of Tasks In Progress,Number of Delayed Tasks,Daily Progress Percentage
PRJ_090,2023-01-18,21,13,8,24.73
PRJ_090,2023-01-19,23,15,7,27.07
PRJ_090,2023-01-20,24,15,9,30.05
PRJ_090,2023-01-21,27,14,10,33.02
PRJ_090,2023-01-22,30,12,12,35.28
PRJ_091,2023-01-07,0,5,0,1.67
PRJ_091,2023-01-08,2,4,0,3.2
PRJ_091,2023-01-09,3,6,0,4.4
PRJ_091,2023-01-10,4,7,0,5.97
PRJ_091,2023-01-11,5,11,0,7.87
PRJ_091,2023-01-12,7,9,0,10.81
PRJ_091,2023-01-13,9,9,1,13.22
PRJ_091,2023-01-14,13,9,3,15.4
PRJ_091,2023-01-15,15,10,3,17.47
PRJ_091,2023-01-16,16,10,6,19.62
PRJ_091,2023-01-17,19,10,8,21.78
PRJ_091,2023-01-18,20,13,8,23.44
PRJ_091,2023-01-19,22,16,8,25.53
PRJ_091,2023-01-20,23,22,11,28.54
PRJ_091,2023-01-21,24,24,13,32.82
PRJ_091,2023-01-22,29,22,13,37.26
PRJ_092,2023-01-07,0,4,0,1.0
PRJ_092,2023-01-08,1,6,0,2.2
PRJ_092,2023-01-09,2,6,0,3.93
PRJ_092,2023-01-10,3,9,0,5.67
PRJ_092,2023-01-11,5,8,0,7.84
PRJ_092,2023-01-12,7,7,0,9.67
PRJ_092,2023-01-13,9,7,2,11.31
PRJ_092,2023-01-14,10,13,3,12.86
PRJ_092,2023-01-15,12,14,5,15.39
PRJ_092,2023-01-16,13,17,6,18.18
PRJ_092,2023-01-17,15,16,8,21.42
PRJ_092,2023-01-18,18,15,9,24.12
PRJ_092,2023-01-19,21,17,11,26.3
PRJ_092,2023-01-20,22,21,11,28.77
PRJ_092,2023-01-21,23,24,13,32.28
PRJ_092,2023-01-22,26,24,12,36.46
PRJ_093,2023-01-07,0,6,0,1.33
PRJ_093,2023-01-08,2,6,0,3.03
PRJ_093,2023-01-09,2,7,0,4.73
PRJ_093,2023-01-10,3,8,0,6.63
PRJ_093,2023-01-11,7,8,0,8.78
PRJ_093,2023-01-12,8,9,0,10.59
PRJ_093,2023-01-13,9,10,1,12.78
PRJ_093,2023-01-14,12,13,2,15.22
PRJ_093,2023-01-15,13,15,3,18.33
PRJ_093,2023-01-16,16,16,5,21.62
PRJ_093,2023-01-17,21,14,5,24.99
PRJ_093,2023-01-18,22,16,7,27.95
PRJ_093,2023-01-19,26,16,8,31.19
PRJ_093,2023-01-20,30,16,7,34.3
PRJ_093,2023-01-21,31,16,9,37.34
PRJ_093,2023-01-22,33,16,10,40.39
PRJ_094,2023-01-07,0,3,0,1.0
PRJ_094,2023-01-08,1,4,0,2.0
PRJ_094,2023-01-09,2,7,0,3.33
PRJ_094,2023-01-10,3,8,0,5.53
PRJ_094,2023-01-11,5,6,0,7.93
PRJ_094,2023-01-12,8,4,0,9.67
PRJ_094,2023-01-13,9,4,3,10.73
PRJ_094,2023-01-14,10,8,5,11.57
PRJ_094,2023-01-15,12,10,6,13.1
PRJ_094,2023-01-16,12,11,7,14.92
PRJ_094,2023-01-17,14,13,7,17.07
PRJ_094,2023-01-18,16,12,9,19.63
PRJ_094,2023-01-19,17,14,13,21.72
PRJ_094,2023-01-20,20,17,15,23.74
PRJ_094,2023-01-21,20,22,18,25.59
PRJ_094,2023-01-22,20,26,20,28.47
PRJ_095,2023-01-07,0,8,0,1.67
PRJ_095,2023-01-08,1,8,0,4.2
PRJ_095,2023-01-09,4,6,0,6.73
PRJ_095,2023-01-10,7,4,0,8.6
PRJ_095,2023-01-11,8,6,0,9.8
PRJ_095,2023-01-12,10,5,0,11.53
PRJ_095,2023-01-13,11,6,2,13.07
PRJ_095,2023-01-14,13,9,2,14.8
PRJ_095,2023-01-15,14,9,2,16.79
PRJ_095,2023-01-16,16,7,5,18.77
PRJ_095,2023-01-17,18,8,6,20.23
PRJ_095,2023-01-18,20,8,8,21.5
PRJ_095,2023-01-19,20,11,9,22.65
PRJ_095,2023-01-20,21,15,11,24.06
PRJ_095,2023-01-21,22,18,13,26.41
PRJ_095,2023-01-22,22,19,15,28.78
PRJ_096,2023-01-07,0,5,0,1.0
PRJ_096,2023-01-08,1,5,0,2.4
PRJ_096,2023-01-09,2,6,0,3.67
PRJ_096,2023-01-10,3,7,0,5.27
PRJ_096,2023-01-11,3,7,0,7.2
PRJ_096,2023-01-12,7,5,0,9.13
PRJ_096,2023-01-13,10,8,1,10.67
PRJ_096,2023-01-14,10,11,2,12.84
PRJ_096,2023-01-15,12,12,4,15.54
PRJ_096,2023-01-16,15,13,8,18.13
PRJ_096,2023-01-17,16,16,9,20.55
PRJ_096,2023-01-18,19,17,10,23.46
PRJ_096,2023-01-19,21,16,12,26.46
PRJ_096,2023-01-20,23,17,13,29.14
PRJ_096,2023-01-21,25,18,13,31.89
PRJ_096,2023-01-22,28,18,14,34.59
PRJ_097,2023-01-07,0,2,0,0.33
PRJ_097,2023-01-08,0,5,0,1.0
PRJ_097,2023-01-09,1,7,0,2.5
PRJ_097,2023-01-10,2,10,0,4.48
PRJ_097,2023-01-11,4,9,0,7.11
PRJ_097,2023-01-12,6,10,0,9.22
PRJ_097,2023-01-13,8,10,4,11.24
PRJ_097,2023-01-14,9,13,5,13.13
PRJ_097,2023-01-15,11,14,7,15.94
PRJ_097,2023-01-16,13,14,7,18.88
PRJ_097,2023-01-17,16,12,8,21.67
PRJ_097,2023-01-18,20,10,7,23.57
PRJ_097,2023-01-19,22,11,9,24.85
PRJ_097,2023-01-20,23,13,11,26.49
PRJ_097,2023-01-21,23,23,13,28.62
PRJ_097,2023-01-22,26,22,12,32.61
PRJ_098,2023-01-07,0,4,0,1.67
PRJ_098,2023-01-08,2,3,0,3.0
PRJ_098,2023-01-09,3,5,0,4.0
PRJ_098,2023-01-10,4,7,0,5.48
PRJ_098,2023-01-11,5,7,0,7.62
PRJ_098,2023-01-12,7,6,0,9.76
PRJ_098,2023-01-13,10,3,2,11.35
PRJ_098,2023-01-14,11,4,4,11.94
PRJ_098,2023-01-15,11,7,6,12.6
PRJ_098,2023-01-16,12,8,8,13.76
PRJ_098,2023-01-17,13,16,9,14.99
PRJ_098,2023-01-18,14,18,9,17.24
PRJ_098,2023-01-19,14,22,12,19.93
PRJ_098,2023-01-20,16,25,15,23.77
PRJ_098,2023-01-21,19,25,17,27.96
PRJ_098,2023-01-22,22,27,20,31.94
PRJ_099,2023-01-07,0,7,0,1.67
PRJ_099,2023-01-08,2,6,0,3.92
PRJ_099,2023-01-09,3,7,0,5.83
PRJ_099,2023-01-10,6,5,0,8.08
PRJ_099,2023-01-11,8,6,0,9.53
PRJ_099,2023-01-12,10,7,0,11.4
PRJ_099,2023-01-13,10,10,2,13.05
PRJ_099,2023-01-14,13,13,3,15.33
PRJ_099,2023-01-15,14,16,3,17.54
PRJ_099,2023-01-16,15,17,5,20.75
PRJ_099,2023-01-17,17,16,6,24.29
PRJ_099,2023-01-18,21,12,8,27.63
PRJ_099,2023-01-19,24,13,8,29.77
PRJ_099,2023-01-20,28,13,8,31.53
PRJ_099,2023-01-21,28,16,9,33.54
PRJ_099,2023-01-22,29,21,11,36.06
PRJ_100,2023-01-07,0,2,0,0.67
PRJ_100,2023-01-08,1,4,0,1.33
PRJ_100,2023-01-09,1,8,0,2.48
PRJ_100,2023-01-10,2,8,0,4.76
PRJ_100,2023-01-11,4,9,0,7.05
PRJ_100,2023-01-12,7,7,0,9.67
PRJ_100,2023-01-13,8,8,3,11.54
PRJ_100,2023-01-14,11,10,6,13.52
PRJ_100,2023-01-15,12,12,7,15.41
PRJ_100,2023-01-16,14,15,8,17.65
PRJ_100,2023-01-17,17,17,8,20.59
PRJ_100,2023-01-18,19,18,10,23.76
PRJ_100,2023-01-19,21,20,10,27.18
PRJ_100,2023-01-20,24,21,12,30.54
PRJ_100,2023-01-21,26,21,14,34.01
PRJ_100,2023-01-22,28,23,15,37.1
PRJ_101,2023-01-07,0,5,0,2.67
PRJ_101,2023-01-08,3,3,0,4.33
PRJ_101,2023-01-09,5,1,0,5.33
PRJ_101,2023-01-10,5,4,0,5.67
PRJ_101,2023-01-11,6,9,0,6.87
PRJ_101,2023-01-12,6,11,0,9.47
PRJ_101,2023-01-13,8,11,1,12.5
PRJ_101,2023-01-14,12,10,2,15.53
PRJ_101,2023-01-15,14,10,5,18.23
PRJ_101,2023-01-16,18,9,7,20.58
PRJ_101,2023-01-17,21,10,8,22.08
PRJ_101,2023-01-18,21,13,9,23.54
PRJ_101,2023-01-19,21,16,9,25.46
PRJ_101,2023-01-20,23,19,11,28.0
PRJ_101,2023-01-21,23,23,12,31.2
PRJ_101,2023-01-22,26,23,12,35.22
PRJ_102,2023-01-08,0,4,0,0.67
PRJ_102,2023-01-09,1,5,0,1.75
PRJ_102,2023-01-10,1,7,0,2.87
PRJ_102,2023-01-11,2,9,0,4.31
PRJ_102,2023-01-12,3,12,0,6.2
PRJ_102,2023-01-13,3,19,0,8.96
PRJ_102,2023-01-14,6,18,2,12.86
PRJ_102,2023-01-15,11,17,3,16.59
PRJ_102,2023-01-16,14,16,4,19.96
PRJ_102,2023-01-17,16,15,6,22.81
PRJ_102,2023-01-18,20,14,7,25.38
PRJ_102,2023-01-19,22,16,6,27.74
PRJ_102,2023-01-20,22,21,7,30.59
PRJ_102,2023-01-21,27,21,6,34.68
PRJ_102,2023-01-22,30,21,6,38.7
PRJ_103,2023-01-08,0,7,0,2.33
PRJ_103,2023-01-09,3,6,0,4.67
PRJ_103,2023-01-10,4,6,0,6.67
PRJ_103,2023-01-11,7,6,0,8.67
PRJ_103,2023-01-12,9,8,0,10.53
PRJ_103,2023-01-13,10,9,0,12.93
PRJ_103,2023-01-14,12,9,1,15.67
PRJ_103,2023-01-15,15,7,3,18.4
PRJ_103,2023-01-16,18,7,3,20.21
PRJ_103,2023-01-17,21,8,4,21.51
PRJ_103,2023-01-18,21,11,5,23.14
PRJ_103,2023-01-19,21,15,6,25.51
PRJ_103,2023-01-20,24,15,7,28.74
PRJ_103,2023-01-21,27,14,8,31.47
PRJ_103,2023-01-22,30,12,8,34.0
PRJ_104,2023-01-08,0,6,0,1.67
PRJ_104,2023-01-09,2,6,0,3.53
PRJ_104,2023-01-10,3,6,0,5.4
PRJ_104,2023-01-11,5,5,0,7.27
PRJ_104,2023-01-12,7,5,0,8.67
PRJ_104,2023-01-13,9,6,0,9.93
PRJ_104,2023-01-14,9,8,1,11.53
PRJ_104,2023-01-15,10,13,3,13.8
PRJ_104,2023-01-16,13,15,4,16.99
PRJ_104,2023-01-17,16,15,5,20.6
PRJ_104,2023-01-18,20,12,6,23.84
PRJ_104,2023-01-19,23,10,8,26.23
PRJ_104,2023-01-20,24,13,11,27.68
PRJ_104,2023-01-21,26,15,12,29.88
PRJ_104,2023-01-22,26,17,12,32.12
PRJ_105,2023-01-08,0,3,0,0.67
PRJ_105,2023-01-09,1,4,0,1.58
PRJ_105,2023-01-10,1,6,0,2.67
PRJ_105,2023-01-11,2,11,0,4.42
PRJ_105,2023-01-12,4,9,0,7.19
PRJ_105,2023-01-13,6,10,0,9.38
PRJ_105,2023-01-14,8,11,3,11.55
PRJ_105,2023-01-15,9,12,4,13.69
PRJ_105,2023-01-16,12,13,6,16.08
PRJ_105,2023-01-17,14,12,6,18.63
PRJ_105,2023-01-18,16,14,7,21.01
PRJ_105,2023-01-19,20,20,6,23.48
PRJ_105,2023-01-20,21,21,9,27.1
PRJ_105,2023-01-21,22,22,11,30.83
PRJ_105,2023-01-22,26,19,12,34.89
PRJ_106,2023-01-08,0,4,0,1.67
PRJ_106,2023-01-09,2,3,0,2.87
PRJ_106,2023-01-10,3,4,0,3.73
PRJ_106,2023-01-11,3,5,0,4.63
PRJ_106,2023-01-12,4,7,0,5.87
PRJ_106,2023-01-13,5,8,0,7.41
PRJ_106,2023-01-14,6,11,1,9.29
PRJ_106,2023-01-15,8,12,3,11.54
PRJ_106,2023-01-16,10,14,4,13.69
PRJ_106,2023-01-17,11,18,7,16.09
PRJ_106,2023-01-18,13,21,9,19.09
PRJ_106,2023-01-19,16,20,9,22.45
PRJ_106,2023-01-20,18,20,11,25.54
PRJ_106,2023-01-21,20,26,13,28.55
PRJ_106,2023-01-22,23,23,12,32.85
PRJ_107,2023-01-08,0,6,0,2.67
PRJ_107,2023-01-09,3,3,0,4.67
PRJ_107,2023-01-10,5,5,0,5.67
PRJ_107,2023-01-11,6,7,0,7.25
PRJ_107,2023-01-12,6,8,0,9.29
PRJ_107,2023-01-13,9,8,0,11.67
PRJ_107,2023-01-14,12,5,1,14.04
PRJ_107,2023-01-15,13,7,2,15.5
PRJ_107,2023-01-16,16,6,4,17.14
PRJ_107,2023-01-17,16,10,7,18.2
PRJ_107,2023-01-18,17,12,7,19.97
PRJ_107,2023-01-19,19,16,7,21.95
PRJ_107,2023-01-20,20,15,10,24.33
PRJ_107,2023-01-21,21,20,10,26.38
PRJ_107,2023-01-22,23,20,13,29.25
PRJ_108,2023-01-08,0,6,0,1.67
PRJ_108,2023-01-09,2,7,0,3.4
PRJ_108,2023-01-10,3,6,0,5.47
PRJ_108,2023-01-11,4,7,0,7.2
PRJ_108,2023-01-12,7,5,0,9.06
PRJ_108,2023-01-13,9,3,0,10.25
PRJ_108,2023-01-14,10,2,0,11.04
PRJ_108,2023-01-15,11,2,2,11.5
PRJ_108,2023-01-16,11,6,4,11.96
PRJ_108,2023-01-17,11,10,5,13.36
PRJ_108,2023-01-18,12,11,8,15.35
PRJ_108,2023-01-19,15,14,9,17.42
PRJ_108,2023-01-20,16,18,12,19.53
PRJ_108,2023-01-21,18,19,15,22.23
PRJ_108,2023-01-22,19,26,17,24.88
PRJ_109,2023-01-08,0,4,0,1.33
PRJ_109,2023-01-09,2,5,0,2.67
PRJ_109,2023-01-10,2,7,0,4.33
PRJ_109,2023-01-11,4,7,0,6.53
PRJ_109,2023-01-12,7,5,0,8.32
PRJ_109,2023-01-13,8,5,0,9.35
PRJ_109,2023-01-14,8,7,2,10.38
PRJ_109,2023-01-15,9,12,5,11.95
PRJ_109,2023-01-16,11,13,5,14.59
PRJ_109,2023-01-17,12,14,6,17.25
PRJ_109,2023-01-18,14,18,8,20.25
PRJ_109,2023-01-19,19,17,8,23.56
PRJ_109,2023-01-20,22,20,11,26.54
PRJ_109,2023-01-21,24,25,12,30.01
PRJ_109,2023-01-22,25,25,12,34.48
PRJ_110,2023-01-08,0,3,0,1.0
PRJ_110,2023-01-09,1,3,0,1.87
PRJ_110,2023-01-10,2,5,0,2.73
PRJ_110,2023-01-11,2,9,0,4.13
PRJ_110,2023-01-12,3,9,0,6.51
PRJ_110,2023-01-13,6,8,0,8.89
PRJ_110,2023-01-14,8,9,2,10.84
PRJ_110,2023-01-15,10,12,4,12.83
PRJ_110,2023-01-16,12,17,6,14.99
PRJ_110,2023-01-17,13,16,8,18.25
PRJ_110,2023-01-18,15,19,9,21.17
PRJ_110,2023-01-19,18,20,10,24.95
PRJ_110,2023-01-20,20,20,12,28.6
PRJ_110,2023-01-21,25,21,13,32.56
PRJ_110,2023-01-22,28,19,13,36.22
PRJ_111,2023-01-08,0,5,0,1.33
PRJ_111,2023-01-09,1,5,0,2.92
PRJ_111,2023-01-10,3,4,0,4.31
PRJ_111,2023-01-11,4,7,0,5.37
PRJ_111,2023-01-12,5,7,0,6.93
PRJ_111,2023-01-13,6,9,0,8.57
PRJ_111,2023-01-14,7,11,3,10.88
PRJ_111,2023-01-15,9,13,4,13.52
PRJ_111,2023-01-16,13,12,4,16.69
PRJ_111,2023-01-17,14,16,8,19.39
PRJ_111,2023-01-18,17,20,10,22.86
PRJ_111,2023-01-19,21,20,9,26.64
PRJ_111,2023-01-20,23,19,11,30.43
PRJ_111,2023-01-21,28,18,11,33.98
PRJ_111,2023-01-22,31,17,12,36.62
PRJ_112,2023-01-08,0,7,0,2.67
PRJ_112,2023-01-09,3,5,0,4.87
PRJ_112,2023-01-10,5,5,0,6.27
PRJ_112,2023-01-11,6,5,0,7.67
PRJ_112,2023-01-12,6,6,0,9.07
PRJ_112,2023-01-13,9,5,0,10.67
PRJ_112,2023-01-14,11,5,0,11.93
PRJ_112,2023-01-15,11,9,0,13.33
PRJ_112,2023-01-16,12,11,2,15.83
PRJ_112,2023-01-17,15,12,6,18.87
PRJ_112,2023-01-18,19,13,6,21.85
PRJ_112,2023-01-19,21,13,7,24.54
PRJ_112,2023-01-20,23,13,11,26.99
PRJ_112,2023-01-21,26,14,13,29.05
PRJ_112,2023-01-22,27,16,13,30.55
PRJ_113,2023-01-08,0,6,0,1.25
PRJ_113,2023-01-09,1,7,0,3.17
PRJ_113,2023-01-10,2,6,0,5.42
PRJ_113,2023-01-11,6,6,0,7.33
PRJ_113,2023-01-12,8,6,0,8.99
PRJ_113,2023-01-13,8,9,0,10.43
PRJ_113,2023-01-14,10,9,2,12.55
PRJ_113,2023-01-15,11,14,4,14.53
PRJ_113,2023-01-16,13,13,4,17.71
PRJ_113,2023-01-17,15,14,5,20.68
PRJ_113,2023-01-18,19,12,8,23.74
PRJ_113,2023-01-19,22,12,8,25.87
PRJ_113,2023-01-20,23,16,9,27.84
PRJ_113,2023-01-21,25,22,10,30.29
PRJ_113,2023-01-22,26,26,12,34.07
PRJ_114,2023-01-08,0,4,0,2.0
PRJ_114,2023-01-09,2,5,0,3.33
PRJ_114,2023-01-10,4,4,0,5.0
PRJ_114,2023-01-11,4,6,0,6.33
PRJ_114,2023-01-12,7,6,0,8.11
PRJ_114,2023-01-13,8,11,0,9.89
PRJ_114,2023-01-14,9,14,2,12.5
PRJ_114,2023-01-15,12,14,3,15.74
PRJ_114,2023-01-16,14,15,6,18.98
PRJ_114,2023-01-17,16,16,7,22.05
PRJ_114,2023-01-18,19,16,9,25.0
PRJ_114,2023-01-19,21,17,10,27.8
PRJ_114,2023-01-20,24,18,9,30.98
PRJ_114,2023-01-21,27,18,9,34.1
PRJ_114,2023-01-22,31,17,8,37.17
PRJ_115,2023-01-08,0,3,0,1.0
PRJ_115,2023-01-09,1,3,0,2.0
PRJ_115,2023-01-10,2,3,0,3.0
PRJ_115,2023-01-11,3,6,0,4.0
PRJ_115,2023-01-12,4,7,0,5.78
PRJ_115,2023-01-13,5,7,0,7.89
PRJ_115,2023-01-14,8,5,3,10.0
PRJ_115,2023-01-15,10,6,5,11.44
PRJ_115,2023-01-16,11,8,7,12.71
PRJ_115,2023-01-17,12,12,10,14.13
PRJ_115,2023-01-18,13,16,12,16.1
PRJ_115,2023-01-19,14,19,12,18.42
PRJ_115,2023-01-20,16,20,13,20.99
PRJ_115,2023-01-21,17,22,15,23.86
PRJ_115,2023-01-22,20,23,17,26.89
PRJ_116,2023-01-08,0,6,0,2.25
PRJ_116,2023-01-09,2,7,0,4.17
PRJ_116,2023-01-10,4,8,0,6.42
PRJ_116,2023-01-11,6,9,0,8.79
PRJ_116,2023-01-12,9,9,0,11.37
PRJ_116,2023-01-13,11,9,0,13.82
PRJ_116,2023-01-14,13,10,1,16.05
PRJ_116,2023-01-15,15,11,2,18.39
PRJ_116,2023-01-16,16,12,4,20.86
PRJ_116,2023-01-17,19,13,5,23.57
PRJ_116,2023-01-18,22,12,4,26.1
PRJ_116,2023-01-19,24,11,4,28.51
PRJ_116,2023-01-20,26,10,6,30.8
PRJ_116,2023-01-21,28,13,8,32.84
PRJ_116,2023-01-22,30,15,8,35.0
PRJ_117,2023-01-09,0,6,0,1.33
PRJ_117,2023-01-10,1,5,0,3.2
PRJ_117,2023-01-11,3,7,0,4.73
PRJ_117,2023-01-12,5,8,0,6.8
PRJ_117,2023-01-13,5,11,0,9.07
PRJ_117,2023-01-14,9,10,0,12.33
PRJ_117,2023-01-15,11,11,2,15.11
PRJ_117,2023-01-16,15,10,3,17.99
PRJ_117,2023-01-17,17,11,3,20.17
PRJ_117,2023-01-18,20,9,6,22.47
PRJ_117,2023-01-19,21,12,6,23.94
PRJ_117,2023-01-20,22,12,7,25.98
PRJ_117,2023-01-21,23,16,7,28.02
PRJ_117,2023-01-22,25,20,8,30.83
PRJ_118,2023-01-09,0,4,0,2.0
PRJ_118,2023-01-10,2,5,0,3.33
PRJ_118,2023-01-11,4,4,0,4.92
PRJ_118,2023-01-12,4,6,0,6.17
PRJ_118,2023-01-13,6,9,0,8.08
PRJ_118,2023-01-14,8,10,0,10.27
PRJ_118,2023-01-15,10,10,2,12.66
PRJ_118,2023-01-16,11,14,3,14.59
PRJ_118,2023-01-17,12,15,5,17.2
PRJ_118,2023-01-18,14,14,7,19.85
PRJ_118,2023-01-19,18,15,7,22.14
PRJ_118,2023-01-20,18,18,7,24.36
PRJ_118,2023-01-21,19,21,8,27.35
PRJ_118,2023-01-22,23,20,8,31.19
PRJ_119,2023-01-09,0,6,0,1.75
PRJ_119,2023-01-10,1,9,0,3.42
PRJ_119,2023-01-11,3,11,0,6.0
PRJ_119,2023-01-12,5,10,0,8.8
PRJ_119,2023-01-13,8,10,0,11.35
PRJ_119,2023-01-14,10,10,0,13.61
PRJ_119,2023-01-15,12,12,1,15.87
PRJ_119,2023-01-16,14,13,2,18.52
PRJ_119,2023-01-17,16,13,3,21.21
PRJ_119,2023-01-18,19,15,2,23.82
PRJ_119,2023-01-19,22,13,3,26.67
PRJ_119,2023-01-20,23,16,5,29.14
PRJ_119,2023-01-21,26,18,5,32.03
PRJ_119,2023-01-22,28,19,5,35.12
PRJ_120,2023-01-09,0,5,0,1.33
PRJ_120,2023-01-10,1,6,0,2.87
PRJ_120,2023-01-11,3,7,0,4.73
PRJ_120,2023-01-12,4,6,0,6.72
PRJ_120,2023-01-13,6,7,0,8.37
PRJ_120,2023-01-14,8,6,0,10.18
PRJ_120,2023-01-15,9,10,2,11.58
PRJ_120,2023-01-16,12,12,3,13.88
PRJ_120,2023-01-17,12,13,4,16.39
PRJ_120,2023-01-18,13,15,5,18.97
PRJ_120,2023-01-19,18,15,6,21.92
PRJ_120,2023-01-20,20,17,9,24.82
PRJ_120,2023-01-21,21,22,10,28.18
PRJ_120,2023-01-22,23,24,11,32.06
PRJ_121,2023-01-09,0,1,0,0.0
PRJ_121,2023-01-10,0,7,0,0.33
PRJ_121,2023-01-11,0,9,0,2.18
PRJ_121,2023-01-12,1,8,0,4.55
PRJ_121,2023-01-13,4,8,0,6.6
PRJ_121,2023-01-14,5,11,0,8.24
PRJ_121,2023-01-15,6,12,4,10.07
PRJ_121,2023-01-16,9,14,5,12.38
PRJ_121,2023-01-17,10,14,6,14.85
PRJ_121,2023-01-18,12,17,6,17.51
PRJ_121,2023-01-19,15,16,7,20.31
PRJ_121,2023-01-20,16,21,10,22.95
PRJ_121,2023-01-21,17,24,12,26.46
PRJ_121,2023-01-22,20,23,13,30.24
PRJ_122,2023-01-09,0,7,0,2.0
PRJ_122,2023-01-10,2,8,0,4.12
PRJ_122,2023-01-11,4,10,0,6.57
PRJ_122,2023-01-12,5,11,0,9.55
PRJ_122,2023-01-13,9,10,0,12.57
PRJ_122,2023-01-14,13,8,0,15.25
PRJ_122,2023-01-15,13,11,1,17.4
PRJ_122,2023-01-16,16,11,1,20.42
PRJ_122,2023-01-17,20,11,2,23.31
PRJ_122,2023-01-18,23,10,1,26.2
PRJ_122,2023-01-19,25,8,1,28.92
PRJ_122,2023-01-20,29,8,3,30.97
PRJ_122,2023-01-21,31,11,4,32.87
PRJ_122,2023-01-22,31,14,5,35.0
PRJ_123,2023-01-09,0,4,0,0.67
PRJ_123,2023-01-10,1,6,0,1.87
PRJ_123,2023-01-11,1,8,0,3.6
PRJ_123,2023-01-12,3,6,0,5.87
PRJ_123,2023-01-13,5,8,0,7.47
PRJ_123,2023-01-14,7,10,0,9.6
PRJ_123,2023-01-15,8,12,2,12.17
PRJ_123,2023-01-16,12,11,4,15.3
PRJ_123,2023-01-17,14,13,4,17.98
PRJ_123,2023-01-18,17,11,6,20.86
PRJ_123,2023-01-19,20,12,7,23.2
PRJ_123,2023-01-20,22,13,9,25.5
PRJ_123,2023-01-21,23,14,10,27.88
PRJ_123,2023-01-22,25,13,11,30.07
PRJ_124,2023-01-09,0,6,0,1.67
PRJ_124,2023-01-10,2,5,0,3.58
PRJ_124,2023-01-11,3,5,0,5.17
PRJ_124,2023-01-12,5,6,0,6.75
PRJ_124,2023-01-13,7,8,0,8.44
PRJ_124,2023-01-14,8,9,0,10.72
PRJ_124,2023-01-15,10,11,2,13.33
PRJ_124,2023-01-16,13,12,3,16.53
PRJ_124,2023-01-17,15,14,4,19.8
PRJ_124,2023-01-18,18,14,7,23.25
PRJ_124,2023-01-19,23,12,8,26.2
PRJ_124,2023-01-20,25,15,9,28.73
PRJ_124,2023-01-21,27,14,9,31.51
PRJ_124,2023-01-22,30,14,9,34.09
PRJ_125,2023-01-09,0,3,0,1.33
PRJ_125,2023-01-10,1,4,0,2.33
PRJ_125,2023-01-11,3,5,0,3.67
PRJ_125,2023-01-12,3,9,0,5.07
PRJ_125,2023-01-13,5,8,0,7.25
PRJ_125,2023-01-14,6,9,0,8.89
PRJ_125,2023-01-15,7,9,3,10.73
PRJ_125,2023-01-16,9,8,4,12.41
PRJ_125,2023-01-17,11,7,5,13.76
PRJ_125,2023-01-18,11,13,6,14.91
PRJ_125,2023-01-19,12,20,8,17.3
PRJ_125,2023-01-20,15,20,7,20.99
PRJ_125,2023-01-21,19,20,9,24.62
PRJ_125,2023-01-22,21,20,11,28.11
PRJ_126,2023-01-09,0,4,0,2.0
PRJ_126,2023-01-10,3,2,0,3.2
PRJ_126,2023-01-11,3,2,0,3.73
PRJ_126,2023-01-12,3,4,0,4.27
PRJ_126,2023-01-13,4,7,0,5.2
PRJ_126,2023-01-14,5,9,0,6.79
PRJ_126,2023-01-15,5,11,0,8.98
PRJ_126,2023-01-16,7,11,3,11.82
PRJ_126,2023-01-17,11,11,6,14.43
PRJ_126,2023-01-18,14,14,7,16.71
PRJ_126,2023-01-19,15,15,9,19.13
PRJ_126,2023-01-20,16,19,12,21.63
PRJ_126,2023-01-21,18,19,13,24.71
PRJ_126,2023-01-22,21,20,13,27.73
PRJ_127,2023-01-09,0,2,0,0.33
PRJ_127,2023-01-10,0,3,0,0.87
PRJ_127,2023-01-11,1,8,0,1.73
PRJ_127,2023-01-12,1,12,0,3.71
PRJ_127,2023-01-13,2,13,0,6.75
PRJ_127,2023-01-14,5,12,0,9.99
PRJ_127,2023-01-15,8,11,3,12.95
PRJ_127,2023-01-16,11,14,5,15.52
PRJ_127,2023-01-17,14,15,6,18.61
PRJ_127,2023-01-18,17,16,6,21.83
PRJ_127,2023-01-19,21,18,5,25.18
PRJ_127,2023-01-20,24,16,6,28.8
PRJ_127,2023-01-21,26,16,7,31.88
PRJ_127,2023-01-22,29,14,9,34.96
PRJ_128,2023-01-09,0,4,0,1.67
PRJ_128,2023-01-10,2,6,0,3.0
PRJ_128,2023-01-11,3,6,0,5.0
PRJ_128,2023-01-12,4,7,0,7.0
PRJ_128,2023-01-13,8,7,0,9.33
PRJ_128,2023-01-14,9,10,0,11.48
PRJ_128,2023-01-15,11,9,2,14.39
PRJ_128,2023-01-16,14,10,4,16.96
PRJ_128,2023-01-17,17,10,6,19.36
PRJ_128,2023-01-18,18,11,6,21.37
PRJ_128,2023-01-19,20,11,8,23.45
PRJ_128,2023-01-20,22,12,8,25.53
PRJ_128,2023-01-21,23,15,9,27.63
PRJ_128,2023-01-22,26,17,9,30.34
PRJ_129,2023-01-09,0,5,0,1.33
PRJ_129,2023-01-10,1,8,0,2.87
PRJ_129,2023-01-11,3,8,0,5.4
PRJ_129,2023-01-12,4,9,0,7.93
PRJ_129,2023-01-13,8,7,0,10.8
PRJ_129,2023-01-14,11,6,0,13.0
PRJ_129,2023-01-15,13,7,2,14.76
